,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Empanaditas Surtidas'}),frozenset({'Hamburguesitas de Carne'}),0.2939068100358423,0.36200716845878134,0.18433179723502305,0.6271777003484321,1.7325007762100255,0.07793542514319485,1.7112518004890633
1,frozenset({'Hamburguesitas de Carne'}),frozenset({'Empanaditas Surtidas'}),0.36200716845878134,0.2939068100358423,0.18433179723502305,0.5091937765205092,1.7325007762100253,0.07793542514319485,1.4386394389183272
2,frozenset({'Miga de Jamón y Queso'}),frozenset({'Empanaditas Surtidas'}),0.2636968766001024,0.2939068100358423,0.15360983102918588,0.5825242718446603,1.982003315178783,0.07610752321123464,1.6913395015420525
3,frozenset({'Empanaditas Surtidas'}),frozenset({'Miga de Jamón y Queso'}),0.2939068100358423,0.2636968766001024,0.15360983102918588,0.5226480836236934,1.9820033151787833,0.07610752321123464,1.5424744263924863
4,frozenset({'Empanaditas Surtidas'}),frozenset({'Pizzetas Clasicas'}),0.2939068100358423,0.39477726574500765,0.2201740911418331,0.7491289198606272,1.8975989370788653,0.10414636429204589,2.4124850657108725
5,frozenset({'Pizzetas Clasicas'}),frozenset({'Empanaditas Surtidas'}),0.39477726574500765,0.2939068100358423,0.2201740911418331,0.5577172503242542,1.897598937078865,0.10414636429204589,1.5964746318544447
6,frozenset({'Empanaditas Surtidas'}),frozenset({'Sandwich de Jamón y Queso'}),0.2939068100358423,0.3143881208397337,0.15565796210957503,0.529616724738676,1.6845952172876781,0.06325715240040598,1.4575600690296036
7,frozenset({'Empanaditas Surtidas'}),frozenset({'Sandwich de Peceto'}),0.2939068100358423,0.3466461853558628,0.18381976446492576,0.6254355400696865,1.8042475771877367,0.08193808991589083,1.744302742352255
8,frozenset({'Sandwich de Peceto'}),frozenset({'Empanaditas Surtidas'}),0.3466461853558628,0.2939068100358423,0.18381976446492576,0.5302806499261448,1.8042475771877364,0.08193808991589083,1.5032235522192918
9,frozenset({'Miga de Jamón y Queso'}),frozenset({'Hamburguesitas de Carne'}),0.2636968766001024,0.36200716845878134,0.159242191500256,0.6038834951456311,1.6681534172834762,0.06378203187082827,1.6106191580574885
10,frozenset({'Pizzetas Clasicas'}),frozenset({'Hamburguesitas de Carne'}),0.39477726574500765,0.36200716845878134,0.2524321556579621,0.6394293125810636,1.7663443387140274,0.10951995551371205,1.7693973853175529
11,frozenset({'Hamburguesitas de Carne'}),frozenset({'Pizzetas Clasicas'}),0.36200716845878134,0.39477726574500765,0.2524321556579621,0.6973125884016974,1.7663443387140274,0.10951995551371205,1.9994975379358864
12,frozenset({'Sandwich de Jamón y Queso'}),frozenset({'Hamburguesitas de Carne'}),0.3143881208397337,0.36200716845878134,0.20020481310803892,0.6368078175895766,1.759102783242494,0.08639405968576973,1.7566260025394993
